          // seed 111
0000 c000 lbi r0, 0 // icount 0
0002 c101 lbi r1, 1 // icount 1
0004 c2ff lbi r2, -1 // icount 2
0006 c40a lbi r4, 10 // icount 3
0008 20f4 j .rlabel_0 // icount 4
000a dc58 add r6, r4, r2 // icount 5
4686 fed4 sco r5, r6, r6 // icount 9027
4688 d4af srl r3, r4, r5 // icount 9028
468a      .rlabel_232:
468a 7212 bltz r2, .rlabel_233 // icount 9029
468c d863 andn r0, r0, r3 // icount 9030
468e f7d0 sle r4, r7, r6 // icount 9031
4690 db3a xor r6, r3, r1 // icount 9032
4692 e548 seq r2, r5, r2 // icount 9033
4694 dc7b andn r6, r4, r3 // icount 9034
4696 d2b2 ror r4, r2, r5 // icount 9035
4698 dff8 add r6, r7, r7 // icount 9036
469a e380 seq r0, r3, r4 // icount 9037
469c ea14 slt r5, r2, r0 // icount 9038
469e      .rlabel_233:
469e 7b1e bgez r3, .rlabel_234 // icount 9039
46a0 de28 add r2, r6, r1 // icount 9040
46a2 fd98 sco r6, r5, r4 // icount 9041
46a4 d4ff srl r7, r4, r7 // icount 9042
46a6 df37 andn r5, r7, r1 // icount 9043
46a8 f570 sle r4, r5, r3 // icount 9044
46aa ef7c slt r7, r7, r3 // icount 9045
46ac df3c add r7, r7, r1 // icount 9046
46ae d6e5 sll r1, r6, r7 // icount 9047
46b0 d1d2 ror r4, r1, r6 // icount 9048
46b2 d91e xor r7, r1, r0 // icount 9049
46b4 f794 sle r5, r7, r4 // icount 9050
46b6 db64 add r1, r3, r3 // icount 9051
46b8 f894 sco r5, r0, r4 // icount 9052
46ba da76 xor r5, r2, r3 // icount 9053
46bc f9c0 sco r0, r1, r6 // icount 9054
46be      .rlabel_234:
46be 204c j .rlabel_235 // icount 9055
46c0 df2c add r3, r7, r1 // icount 9056
46c2 d112 ror r4, r1, r0 // icount 9057
46c4 d97b andn r6, r1, r3 // icount 9058
46c6 f690 sle r4, r6, r4 // icount 9059
46c8 d097 srl r5, r0, r4 // icount 9060
46ca d0d2 ror r4, r0, r6 // icount 9061
46cc d287 srl r1, r2, r4 // icount 9062
46ce f7fc sle r7, r7, r7 // icount 9063
46d0 d23c rol r7, r2, r1 // icount 9064
46d2 fc68 sco r2, r4, r3 // icount 9065
46d4 e598 seq r6, r5, r4 // icount 9066
46d6 da4d sub r3, r2, r2 // icount 9067
46d8 d73f srl r7, r7, r1 // icount 9068
46da fdf4 sco r5, r5, r7 // icount 9069
46dc d3c1 sll r0, r3, r6 // icount 9070
46de da09 sub r2, r2, r0 // icount 9071
46e0 eed4 slt r5, r6, r6 // icount 9072
46e2 fca4 sco r1, r4, r5 // icount 9073
46e4 daa6 xor r1, r2, r5 // icount 9074
46e6 d9ca xor r2, r1, r6 // icount 9075
46e8 dac8 add r2, r2, r6 // icount 9076
46ea e088 seq r2, r0, r4 // icount 9077
46ec d5d9 sll r6, r5, r6 // icount 9078
46ee df0c add r3, r7, r0 // icount 9079
46f0 da5e xor r7, r2, r2 // icount 9080
46f2 e310 seq r4, r3, r0 // icount 9081
46f4 d387 srl r1, r3, r4 // icount 9082
46f6 e750 seq r4, r7, r2 // icount 9083
46f8 ddfd sub r7, r5, r7 // icount 9084
46fa d49a ror r6, r4, r4 // icount 9085
46fc ff08 sco r2, r7, r0 // icount 9086
46fe da44 add r1, r2, r2 // icount 9087
4700 d78e ror r3, r7, r4 // icount 9088
4702 e694 seq r5, r6, r4 // icount 9089
4704 de45 sub r1, r6, r2 // icount 9090
4706 e4f4 seq r5, r4, r7 // icount 9091
4708 edd4 slt r5, r5, r6 // icount 9092
470a ee6c slt r3, r6, r3 // icount 9093
470c      .rlabel_235:
470c 20a2 j .rlabel_236 // icount 9094
470e dd6d sub r3, r5, r3 // icount 9095
4710 e9d0 slt r4, r1, r6 // icount 9096
4712 d000 rol r0, r0, r0 // icount 9097
4714 d50c rol r3, r5, r0 // icount 9098
4716 ea5c slt r7, r2, r2 // icount 9099
4718 dbdb andn r6, r3, r6 // icount 9100
471a d822 xor r0, r0, r1 // icount 9101
471c d3a1 sll r0, r3, r5 // icount 9102
471e da89 sub r2, r2, r4 // icount 9103
4720 fa2c sco r3, r2, r1 // icount 9104
4722 d39d sll r7, r3, r4 // icount 9105
4724 fa94 sco r5, r2, r4 // icount 9106
4726 d7e0 rol r0, r7, r7 // icount 9107
4728 fd7c sco r7, r5, r3 // icount 9108
472a db3b andn r6, r3, r1 // icount 9109
472c ef2c slt r3, r7, r1 // icount 9110
472e dfa8 add r2, r7, r5 // icount 9111
4730 e1d8 seq r6, r1, r6 // icount 9112
4732 d0f7 srl r5, r0, r7 // icount 9113
4734 eafc slt r7, r2, r7 // icount 9114
4736 d033 srl r4, r0, r1 // icount 9115
4738 e1cc seq r3, r1, r6 // icount 9116
473a dbe6 xor r1, r3, r7 // icount 9117
473c dd49 sub r2, r5, r2 // icount 9118
473e d1db srl r6, r1, r6 // icount 9119
4740 f47c sle r7, r4, r3 // icount 9120
4742 d55f srl r7, r5, r2 // icount 9121
4744 d4d1 sll r4, r4, r6 // icount 9122
4746 d601 sll r0, r6, r0 // icount 9123
4748 d555 sll r5, r5, r2 // icount 9124
474a ee70 slt r4, r6, r3 // icount 9125
474c f7f0 sle r4, r7, r7 // icount 9126
474e fb50 sco r4, r3, r2 // icount 9127
4750 dc61 sub r0, r4, r3 // icount 9128
4752 da53 andn r4, r2, r2 // icount 9129
4754 df91 sub r4, r7, r4 // icount 9130
4756 d787 srl r1, r7, r4 // icount 9131
4758 d607 srl r1, r6, r0 // icount 9132
475a d43c rol r7, r4, r1 // icount 9133
475c dc12 xor r4, r4, r0 // icount 9134
475e da20 add r0, r2, r1 // icount 9135
4760 d0ad sll r3, r0, r5 // icount 9136
4762 d702 ror r0, r7, r0 // icount 9137
4764 d0f1 sll r4, r0, r7 // icount 9138
4766 dd90 add r4, r5, r4 // icount 9139
4768 ed70 slt r4, r5, r3 // icount 9140
476a da72 xor r4, r2, r3 // icount 9141
476c d06e ror r3, r0, r3 // icount 9142
476e f8ac sco r3, r0, r5 // icount 9143
4770 dbbe xor r7, r3, r5 // icount 9144
4772 e9b4 slt r5, r1, r5 // icount 9145
4774 dfff andn r7, r7, r7 // icount 9146
4776 d9b2 xor r4, r1, r5 // icount 9147
4778 d801 sub r0, r0, r0 // icount 9148
477a eff8 slt r6, r7, r7 // icount 9149
477c dee1 sub r0, r6, r7 // icount 9150
477e f194 sle r5, r1, r4 // icount 9151
4780 e1b4 seq r5, r1, r5 // icount 9152
4782 f48c sle r3, r4, r4 // icount 9153
4784 d2af srl r3, r2, r5 // icount 9154
4786 fe60 sco r0, r6, r3 // icount 9155
4788 d4b6 ror r5, r4, r5 // icount 9156
478a f0e0 sle r0, r0, r7 // icount 9157
478c d6c8 rol r2, r6, r6 // icount 9158
478e d651 sll r4, r6, r2 // icount 9159
4790 f5b8 sle r6, r5, r5 // icount 9160
4792 ef44 slt r1, r7, r2 // icount 9161
4794 e5f0 seq r4, r5, r7 // icount 9162
4796 dd5c add r7, r5, r2 // icount 9163
4798 f4c0 sle r0, r4, r6 // icount 9164
479a d888 add r2, r0, r4 // icount 9165
479c dbf1 sub r4, r3, r7 // icount 9166
479e d74c rol r3, r7, r2 // icount 9167
47a0 ea9c slt r7, r2, r4 // icount 9168
47a2 da64 add r1, r2, r3 // icount 9169
47a4 ee28 slt r2, r6, r1 // icount 9170
47a6 dcaf andn r3, r4, r5 // icount 9171
47a8 d3c7 srl r1, r3, r6 // icount 9172
47aa d03d sll r7, r0, r1 // icount 9173
47ac dc3f andn r7, r4, r1 // icount 9174
47ae db4e xor r3, r3, r2 // icount 9175
47b0      .rlabel_236:
47b0 7b12 bgez r3, .rlabel_237 // icount 9176
47b2 e560 seq r0, r5, r3 // icount 9177
47b4 d433 srl r4, r4, r1 // icount 9178
47b6 d9eb andn r2, r1, r7 // icount 9179
47b8 f348 sle r2, r3, r2 // icount 9180
47ba d1dc rol r7, r1, r6 // icount 9181
47bc f80c sco r3, r0, r0 // icount 9182
47be d76f srl r3, r7, r3 // icount 9183
47c0 d87b andn r6, r0, r3 // icount 9184
47c2 de24 add r1, r6, r1 // icount 9185
47c4      .rlabel_237:
47c4 6014 beqz r0, .rlabel_238 // icount 9186
47c6 db53 andn r4, r3, r2 // icount 9187
47c8 ded0 add r4, r6, r6 // icount 9188
47ca d368 rol r2, r3, r3 // icount 9189
47cc dff1 sub r4, r7, r7 // icount 9190
47ce dd4d sub r3, r5, r2 // icount 9191
47d0 e000 seq r0, r0, r0 // icount 9192
47d2 d870 add r4, r0, r3 // icount 9193
47d4 d472 ror r4, r4, r3 // icount 9194
47d6 d22e ror r3, r2, r1 // icount 9195
47d8 d81c add r7, r0, r0 // icount 9196
47da      .rlabel_238:
47da 203e j .rlabel_239 // icount 9197
47dc f614 sle r5, r6, r0 // icount 9198
47de d792 ror r4, r7, r4 // icount 9199
47e0 d857 andn r5, r0, r2 // icount 9200
47e2 d5a3 srl r0, r5, r5 // icount 9201
47e4 dae9 sub r2, r2, r7 // icount 9202
47e6 d7c5 sll r1, r7, r6 // icount 9203
47e8 d832 xor r4, r0, r1 // icount 9204
47ea d57a ror r6, r5, r3 // icount 9205
47ec d5b1 sll r4, r5, r5 // icount 9206
47ee e380 seq r0, r3, r4 // icount 9207
47f0 fd70 sco r4, r5, r3 // icount 9208
47f2 d316 ror r5, r3, r0 // icount 9209
47f4 d2ed sll r3, r2, r7 // icount 9210
47f6 d430 rol r4, r4, r1 // icount 9211
47f8 ddcf andn r3, r5, r6 // icount 9212
47fa d41d sll r7, r4, r0 // icount 9213
47fc fdf0 sco r4, r5, r7 // icount 9214
47fe dd07 andn r1, r5, r0 // icount 9215
4800 d026 ror r1, r0, r1 // icount 9216
4802 d2ca ror r2, r2, r6 // icount 9217
4804 d3f9 sll r6, r3, r7 // icount 9218
4806 eff8 slt r6, r7, r7 // icount 9219
4808 dcdd sub r7, r4, r6 // icount 9220
480a dc24 add r1, r4, r1 // icount 9221
480c dee7 andn r1, r6, r7 // icount 9222
480e fe20 sco r0, r6, r1 // icount 9223
4810 db0d sub r3, r3, r0 // icount 9224
4812 d1ad sll r3, r1, r5 // icount 9225
4814 eeb0 slt r4, r6, r5 // icount 9226
4816 dd72 xor r4, r5, r3 // icount 9227
4818 dfe3 andn r0, r7, r7 // icount 9228
481a      .rlabel_239:
481a 7212 bltz r2, .rlabel_240 // icount 9229
481c dc35 sub r5, r4, r1 // icount 9230
481e d676 ror r5, r6, r3 // icount 9231
4820 d42c rol r3, r4, r1 // icount 9232
4822 e184 seq r1, r1, r4 // icount 9233
4824 e58c seq r3, r5, r4 // icount 9234
4826 f2d0 sle r4, r2, r6 // icount 9235
4828 d1ef srl r3, r1, r7 // icount 9236
482a eab4 slt r5, r2, r5 // icount 9237
482c eb4c slt r3, r3, r2 // icount 9238
482e      .rlabel_240:
482e 207a j .rlabel_241 // icount 9239
4830 f864 sco r1, r0, r3 // icount 9240
4832 ee90 slt r4, r6, r4 // icount 9241
4834 df73 andn r4, r7, r3 // icount 9242
4836 d817 andn r5, r0, r0 // icount 9243
4838 d876 xor r5, r0, r3 // icount 9244
483a e1f8 seq r6, r1, r7 // icount 9245
483c d8e5 sub r1, r0, r7 // icount 9246
483e d647 srl r1, r6, r2 // icount 9247
4840 d246 ror r1, r2, r2 // icount 9248
4842 d6be ror r7, r6, r5 // icount 9249
4844 fdb4 sco r5, r5, r5 // icount 9250
4846 d497 srl r5, r4, r4 // icount 9251
4848 dc0f andn r3, r4, r0 // icount 9252
484a dbce xor r3, r3, r6 // icount 9253
484c fddc sco r7, r5, r6 // icount 9254
484e d684 rol r1, r6, r4 // icount 9255
4850 d557 srl r5, r5, r2 // icount 9256
4852 d3a2 ror r0, r3, r5 // icount 9257
4854 faec sco r3, r2, r7 // icount 9258
4856 f88c sco r3, r0, r4 // icount 9259
4858 d5cb srl r2, r5, r6 // icount 9260
485a d058 rol r6, r0, r2 // icount 9261
485c d1bc rol r7, r1, r5 // icount 9262
485e d44e ror r3, r4, r2 // icount 9263
4860 fbe0 sco r0, r3, r7 // icount 9264
4862 f9c8 sco r2, r1, r6 // icount 9265
4864 f544 sle r1, r5, r2 // icount 9266
4866 f1f8 sle r6, r1, r7 // icount 9267
4868 f0f8 sle r6, r0, r7 // icount 9268
486a f994 sco r5, r1, r4 // icount 9269
486c e25c seq r7, r2, r2 // icount 9270
486e d9b9 sub r6, r1, r5 // icount 9271
4870 db5e xor r7, r3, r2 // icount 9272
4872 d27c rol r7, r2, r3 // icount 9273
4874 dddc add r7, r5, r6 // icount 9274
4876 f0dc sle r7, r0, r6 // icount 9275
4878 da29 sub r2, r2, r1 // icount 9276
487a d3db srl r6, r3, r6 // icount 9277
487c d1c4 rol r1, r1, r6 // icount 9278
487e f570 sle r4, r5, r3 // icount 9279
4880 eaf4 slt r5, r2, r7 // icount 9280
4882 fe30 sco r4, r6, r1 // icount 9281
4884 d433 srl r4, r4, r1 // icount 9282
4886 dea5 sub r1, r6, r5 // icount 9283
4888 dca8 add r2, r4, r5 // icount 9284
488a d2e7 srl r1, r2, r7 // icount 9285
488c d4ea ror r2, r4, r7 // icount 9286
488e db75 sub r5, r3, r3 // icount 9287
4890 d103 srl r0, r1, r0 // icount 9288
4892 de5d sub r7, r6, r2 // icount 9289
4894 d5a2 ror r0, r5, r5 // icount 9290
4896 deb2 xor r4, r6, r5 // icount 9291
4898 f9b0 sco r4, r1, r5 // icount 9292
489a ddfc add r7, r5, r7 // icount 9293
489c eed4 slt r5, r6, r6 // icount 9294
489e d8d6 xor r5, r0, r6 // icount 9295
48a0 d784 rol r1, r7, r4 // icount 9296
48a2 d5f8 rol r6, r5, r7 // icount 9297
48a4 d6f8 rol r6, r6, r7 // icount 9298
48a6 dc2c add r3, r4, r1 // icount 9299
48a8 d21f srl r7, r2, r0 // icount 9300
48aa      .rlabel_241:
48aa 6904 bnez r1, .rlabel_242 // icount 9301
48ac db9b andn r6, r3, r4 // icount 9302
48ae d039 sll r6, r0, r1 // icount 9303
48b0      .rlabel_242:
48b0 2002 j .rlabel_243 // icount 9304
48b2 d5c9 sll r2, r5, r6 // icount 9305
48b4      .rlabel_243:
48b4 203c j .rlabel_244 // icount 9306
48b6 dcdb andn r6, r4, r6 // icount 9307
48b8 d3a1 sll r0, r3, r5 // icount 9308
48ba de2a xor r2, r6, r1 // icount 9309
48bc d1be ror r7, r1, r5 // icount 9310
48be df3e xor r7, r7, r1 // icount 9311
48c0 dd78 add r6, r5, r3 // icount 9312
48c2 d949 sub r2, r1, r2 // icount 9313
48c4 f3a8 sle r2, r3, r5 // icount 9314
48c6 e9a0 slt r0, r1, r5 // icount 9315
48c8 d249 sll r2, r2, r2 // icount 9316
48ca d5a8 rol r2, r5, r5 // icount 9317
48cc d9fd sub r7, r1, r7 // icount 9318
48ce e648 seq r2, r6, r2 // icount 9319
48d0 f438 sle r6, r4, r1 // icount 9320
48d2 f618 sle r6, r6, r0 // icount 9321
48d4 def4 add r5, r6, r7 // icount 9322
48d6 da24 add r1, r2, r1 // icount 9323
48d8 df9c add r7, r7, r4 // icount 9324
48da d6a2 ror r0, r6, r5 // icount 9325
48dc dc14 add r5, r4, r0 // icount 9326
48de d57e ror r7, r5, r3 // icount 9327
48e0 d711 sll r4, r7, r0 // icount 9328
48e2 d5ad sll r3, r5, r5 // icount 9329
48e4 d5c1 sll r0, r5, r6 // icount 9330
48e6 d96b andn r2, r1, r3 // icount 9331
48e8 d522 ror r0, r5, r1 // icount 9332
48ea d8a2 xor r0, r0, r5 // icount 9333
48ec da18 add r6, r2, r0 // icount 9334
48ee d4fb srl r6, r4, r7 // icount 9335
48f0 d988 add r2, r1, r4 // icount 9336
48f2      .rlabel_244:
48f2 300a jal .rlabel_245 // icount 9337
48f4 ecd8 slt r6, r4, r6 // icount 9338
48f6 d820 add r0, r0, r1 // icount 9339
48f8 da08 add r2, r2, r0 // icount 9340
48fa da2b andn r2, r2, r1 // icount 9341
48fc d208 rol r2, r2, r0 // icount 9342
48fe      .rlabel_245:
48fe 720c bltz r2, .rlabel_246 // icount 9343
4900 da9c add r7, r2, r4 // icount 9344
4902 d0b4 rol r5, r0, r5 // icount 9345
4904 e6a8 seq r2, r6, r5 // icount 9346
4906 f5c4 sle r1, r5, r6 // icount 9347
4908 df4c add r3, r7, r2 // icount 9348
490a d5f7 srl r5, r5, r7 // icount 9349
490c      .rlabel_246:
490c 20ec j .rlabel_247 // icount 9350
490e d555 sll r5, r5, r2 // icount 9351
4910 f924 sco r1, r1, r1 // icount 9352
4912 e214 seq r5, r2, r0 // icount 9353
4914 dc6b andn r2, r4, r3 // icount 9354
4916 f734 sle r5, r7, r1 // icount 9355
4918 d486 ror r1, r4, r4 // icount 9356
491a dd08 add r2, r5, r0 // icount 9357
491c db5c add r7, r3, r2 // icount 9358
491e d11e ror r7, r1, r0 // icount 9359
4920 ed4c slt r3, r5, r2 // icount 9360
4922 f8c4 sco r1, r0, r6 // icount 9361
4924 ee8c slt r3, r6, r4 // icount 9362
4926 de20 add r0, r6, r1 // icount 9363
4928 d63f srl r7, r6, r1 // icount 9364
492a d1f8 rol r6, r1, r7 // icount 9365
492c d033 srl r4, r0, r1 // icount 9366
492e faec sco r3, r2, r7 // icount 9367
4930 d3f6 ror r5, r3, r7 // icount 9368
4932 e4fc seq r7, r4, r7 // icount 9369
4934 f9ac sco r3, r1, r5 // icount 9370
4936 eeac slt r3, r6, r5 // icount 9371
4938 d9b3 andn r4, r1, r5 // icount 9372
493a d4be ror r7, r4, r5 // icount 9373
493c e034 seq r5, r0, r1 // icount 9374
493e d75d sll r7, r7, r2 // icount 9375
4940 eca0 slt r0, r4, r5 // icount 9376
4942 d117 srl r5, r1, r0 // icount 9377
4944 ddf9 sub r6, r5, r7 // icount 9378
4946 d284 rol r1, r2, r4 // icount 9379
4948 ec4c slt r3, r4, r2 // icount 9380
494a d57f srl r7, r5, r3 // icount 9381
494c d1cd sll r3, r1, r6 // icount 9382
494e dbfe xor r7, r3, r7 // icount 9383
4950 d07a ror r6, r0, r3 // icount 9384
4952 ee3c slt r7, r6, r1 // icount 9385
4954 db2e xor r3, r3, r1 // icount 9386
4956 d8d4 add r5, r0, r6 // icount 9387
4958 d361 sll r0, r3, r3 // icount 9388
495a d686 ror r1, r6, r4 // icount 9389
495c d614 rol r5, r6, r0 // icount 9390
495e e2b4 seq r5, r2, r5 // icount 9391
4960 f380 sle r0, r3, r4 // icount 9392
4962 e66c seq r3, r6, r3 // icount 9393
4964 f904 sco r1, r1, r0 // icount 9394
4966 dd35 sub r5, r5, r1 // icount 9395
4968 e780 seq r0, r7, r4 // icount 9396
496a d9ee xor r3, r1, r7 // icount 9397
496c d403 srl r0, r4, r0 // icount 9398
496e ff1c sco r7, r7, r0 // icount 9399
4970 dc40 add r0, r4, r2 // icount 9400
4972 d1e6 ror r1, r1, r7 // icount 9401
4974 d420 rol r0, r4, r1 // icount 9402
4976 fbcc sco r3, r3, r6 // icount 9403
4978 eb30 slt r4, r3, r1 // icount 9404
497a d472 ror r4, r4, r3 // icount 9405
497c dd62 xor r0, r5, r3 // icount 9406
497e edfc slt r7, r5, r7 // icount 9407
4980 d79a ror r6, r7, r4 // icount 9408
4982 dec3 andn r0, r6, r6 // icount 9409
4984 d0a4 rol r1, r0, r5 // icount 9410
4986 d9c1 sub r0, r1, r6 // icount 9411
4988 d879 sub r6, r0, r3 // icount 9412
498a f24c sle r3, r2, r2 // icount 9413
498c d16a ror r2, r1, r3 // icount 9414
498e dff3 andn r4, r7, r7 // icount 9415
4990 d098 rol r6, r0, r4 // icount 9416
4992 dc15 sub r5, r4, r0 // icount 9417
4994 d1c1 sll r0, r1, r6 // icount 9418
4996 d690 rol r4, r6, r4 // icount 9419
4998 d3c0 rol r0, r3, r6 // icount 9420
499a f568 sle r2, r5, r3 // icount 9421
499c f7f0 sle r4, r7, r7 // icount 9422
499e d8dc add r7, r0, r6 // icount 9423
49a0 e094 seq r5, r0, r4 // icount 9424
49a2 e39c seq r7, r3, r4 // icount 9425
49a4 d787 srl r1, r7, r4 // icount 9426
49a6 d7ad sll r3, r7, r5 // icount 9427
49a8 e134 seq r5, r1, r1 // icount 9428
49aa dee3 andn r0, r6, r7 // icount 9429
49ac db76 xor r5, r3, r3 // icount 9430
49ae fa84 sco r1, r2, r4 // icount 9431
49b0 ff4c sco r3, r7, r2 // icount 9432
49b2 e4ec seq r3, r4, r7 // icount 9433
49b4 dd1a xor r6, r5, r0 // icount 9434
49b6 fee4 sco r1, r6, r7 // icount 9435
49b8 d3ec rol r3, r3, r7 // icount 9436
49ba ddf6 xor r5, r5, r7 // icount 9437
49bc fb44 sco r1, r3, r2 // icount 9438
49be d1b7 srl r5, r1, r5 // icount 9439
49c0 d58f srl r3, r5, r4 // icount 9440
49c2 d36b srl r2, r3, r3 // icount 9441
49c4 da4a xor r2, r2, r2 // icount 9442
49c6 df87 andn r1, r7, r4 // icount 9443
49c8 de0f andn r3, r6, r0 // icount 9444
49ca e7f8 seq r6, r7, r7 // icount 9445
49cc d631 sll r4, r6, r1 // icount 9446
49ce d60e ror r3, r6, r0 // icount 9447
49d0 d4e1 sll r0, r4, r7 // icount 9448
49d2 d62f srl r3, r6, r1 // icount 9449
49d4 d793 srl r4, r7, r4 // icount 9450
49d6 d6d6 ror r5, r6, r6 // icount 9451
49d8 d999 sub r6, r1, r4 // icount 9452
49da d886 xor r1, r0, r4 // icount 9453
49dc d579 sll r6, r5, r3 // icount 9454
49de d149 sll r2, r1, r2 // icount 9455
49e0 ddd8 add r6, r5, r6 // icount 9456
49e2 d083 srl r0, r0, r4 // icount 9457
49e4 d11a ror r6, r1, r0 // icount 9458
49e6 d830 add r4, r0, r1 // icount 9459
49e8 d23a ror r6, r2, r1 // icount 9460
49ea e738 seq r6, r7, r1 // icount 9461
49ec dc23 andn r0, r4, r1 // icount 9462
49ee da9c add r7, r2, r4 // icount 9463
49f0 d7ad sll r3, r7, r5 // icount 9464
49f2 da67 andn r1, r2, r3 // icount 9465
49f4 da7a xor r6, r2, r3 // icount 9466
49f6 d967 andn r1, r1, r3 // icount 9467
49f8 dec6 xor r1, r6, r6 // icount 9468
49fa      .rlabel_247:
49fa 201c j .rlabel_248 // icount 9469
49fc d930 add r4, r1, r1 // icount 9470
49fe d645 sll r1, r6, r2 // icount 9471
4a00 d465 sll r1, r4, r3 // icount 9472
4a02 d300 rol r0, r3, r0 // icount 9473
4a04 d690 rol r4, r6, r4 // icount 9474
4a06 ed50 slt r4, r5, r2 // icount 9475
4a08 d6f8 rol r6, r6, r7 // icount 9476
4a0a dfb2 xor r4, r7, r5 // icount 9477
4a0c dc84 add r1, r4, r4 // icount 9478
4a0e e648 seq r2, r6, r2 // icount 9479
4a10 de37 andn r5, r6, r1 // icount 9480
4a12 f8c8 sco r2, r0, r6 // icount 9481
4a14 d6b3 srl r4, r6, r5 // icount 9482
4a16 e184 seq r1, r1, r4 // icount 9483
4a18      .rlabel_248:
4a18 2050 j .rlabel_249 // icount 9484
4a1a dc03 andn r0, r4, r0 // icount 9485
4a1c d4bd sll r7, r4, r5 // icount 9486
4a1e d125 sll r1, r1, r1 // icount 9487
4a20 dd1a xor r6, r5, r0 // icount 9488
4a22 f028 sle r2, r0, r1 // icount 9489
4a24 d32c rol r3, r3, r1 // icount 9490
4a26 ec2c slt r3, r4, r1 // icount 9491
4a28 e748 seq r2, r7, r2 // icount 9492
4a2a fc08 sco r2, r4, r0 // icount 9493
4a2c efd0 slt r4, r7, r6 // icount 9494
4a2e d041 sll r0, r0, r2 // icount 9495
4a30 e130 seq r4, r1, r1 // icount 9496
4a32 d745 sll r1, r7, r2 // icount 9497
4a34 f2e0 sle r0, r2, r7 // icount 9498
4a36 da7f andn r7, r2, r3 // icount 9499
4a38 d732 ror r4, r7, r1 // icount 9500
4a3a da8c add r3, r2, r4 // icount 9501
4a3c f890 sco r4, r0, r4 // icount 9502
4a3e da5d sub r7, r2, r2 // icount 9503
4a40 d83c add r7, r0, r1 // icount 9504
4a42 d172 ror r4, r1, r3 // icount 9505
4a44 dbbc add r7, r3, r5 // icount 9506
4a46 f3f8 sle r6, r3, r7 // icount 9507
4a48 fd40 sco r0, r5, r2 // icount 9508
4a4a d6f4 rol r5, r6, r7 // icount 9509
4a4c efa0 slt r0, r7, r5 // icount 9510
4a4e de76 xor r5, r6, r3 // icount 9511
4a50 fb14 sco r5, r3, r0 // icount 9512
4a52 f2d8 sle r6, r2, r6 // icount 9513
4a54 dd23 andn r0, r5, r1 // icount 9514
4a56 d78f srl r3, r7, r4 // icount 9515
4a58 d545 sll r1, r5, r2 // icount 9516
4a5a d2ae ror r3, r2, r5 // icount 9517
4a5c df72 xor r4, r7, r3 // icount 9518
4a5e e6f0 seq r4, r6, r7 // icount 9519
4a60 d6bb srl r6, r6, r5 // icount 9520
4a62 d53e ror r7, r5, r1 // icount 9521
4a64 d2c4 rol r1, r2, r6 // icount 9522
4a66 ed98 slt r6, r5, r4 // icount 9523
4a68 df32 xor r4, r7, r1 // icount 9524
4a6a      .rlabel_249:
4a6a 6918 bnez r1, .rlabel_250 // icount 9525
4a6c df35 sub r5, r7, r1 // icount 9526
4a6e dec7 andn r1, r6, r6 // icount 9527
4a70 def6 xor r5, r6, r7 // icount 9528
4a72 fe98 sco r6, r6, r4 // icount 9529
4a74 da74 add r5, r2, r3 // icount 9530
4a76 fd5c sco r7, r5, r2 // icount 9531
4a78 decd sub r3, r6, r6 // icount 9532
4a7a ee98 slt r6, r6, r4 // icount 9533
4a7c d4be ror r7, r4, r5 // icount 9534
4a7e d9cc add r3, r1, r6 // icount 9535
4a80 d7e2 ror r0, r7, r7 // icount 9536
4a82 eddc slt r7, r5, r6 // icount 9537
4a84      .rlabel_250:
4a84 2018 j .rlabel_251 // icount 9538
4a86 d923 andn r0, r1, r1 // icount 9539
4a88 ee2c slt r3, r6, r1 // icount 9540
4a8a d90a xor r2, r1, r0 // icount 9541
4a8c eb24 slt r1, r3, r1 // icount 9542
4a8e ec90 slt r4, r4, r4 // icount 9543
4a90 da00 add r0, r2, r0 // icount 9544
4a92 dd8a xor r2, r5, r4 // icount 9545
4a94 d46a ror r2, r4, r3 // icount 9546
4a96 f1a4 sle r1, r1, r5 // icount 9547
4a98 e280 seq r0, r2, r4 // icount 9548
4a9a da27 andn r1, r2, r1 // icount 9549
4a9c dde9 sub r2, r5, r7 // icount 9550
4a9e      .rlabel_251:
4a9e 2084 j .rlabel_252 // icount 9551
4aa0 d723 srl r0, r7, r1 // icount 9552
4aa2 d204 rol r1, r2, r0 // icount 9553
4aa4 d123 srl r0, r1, r1 // icount 9554
4aa6 d970 add r4, r1, r3 // icount 9555
4aa8 d954 add r5, r1, r2 // icount 9556
4aaa e620 seq r0, r6, r1 // icount 9557
4aac d516 ror r5, r5, r0 // icount 9558
4aae dcac add r3, r4, r5 // icount 9559
4ab0 ddf2 xor r4, r5, r7 // icount 9560
4ab2 d556 ror r5, r5, r2 // icount 9561
4ab4 ea10 slt r4, r2, r0 // icount 9562
4ab6 df8d sub r3, r7, r4 // icount 9563
4ab8 d426 ror r1, r4, r1 // icount 9564
4aba df26 xor r1, r7, r1 // icount 9565
4abc d90b andn r2, r1, r0 // icount 9566
4abe f400 sle r0, r4, r0 // icount 9567
4ac0 fd08 sco r2, r5, r0 // icount 9568
4ac2 f598 sle r6, r5, r4 // icount 9569
4ac4 d506 ror r1, r5, r0 // icount 9570
4ac6 d74e ror r3, r7, r2 // icount 9571
4ac8 d27d sll r7, r2, r3 // icount 9572
4aca d4e8 rol r2, r4, r7 // icount 9573
4acc d010 rol r4, r0, r0 // icount 9574
4ace df81 sub r0, r7, r4 // icount 9575
